,Techniques,Rule
110,T1566.001,Resources/sigma-master/rules/proxy/proxy_ursnif_malware_c2_url.yml
111,T1193,Resources/sigma-master/rules/proxy/proxy_ursnif_malware_c2_url.yml
112,execuTion,Resources/sigma-master/rules/proxy/proxy_ursnif_malware_c2_url.yml
113,T1204.002,Resources/sigma-master/rules/proxy/proxy_ursnif_malware_c2_url.yml
114,T1204,Resources/sigma-master/rules/proxy/proxy_ursnif_malware_c2_url.yml
115,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_ursnif_malware_c2_url.yml
116,T1071.001,Resources/sigma-master/rules/proxy/proxy_ursnif_malware_c2_url.yml
117,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_apt_domestic_kitten.yml
118,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_baby_shark.yml
119,T1071.001,Resources/sigma-master/rules/proxy/proxy_baby_shark.yml
120,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_apt40.yml
121,T1071.001,Resources/sigma-master/rules/proxy/proxy_apt40.yml
122,T1043,Resources/sigma-master/rules/proxy/proxy_apt40.yml
123,exfilTraTion,Resources/sigma-master/rules/proxy/proxy_apt40.yml
124,T1567.002,Resources/sigma-master/rules/proxy/proxy_apt40.yml
125,T1048,Resources/sigma-master/rules/proxy/proxy_apt40.yml
126,T1190,Resources/sigma-master/rules/web/web_sonicwall_jarrewrite_exploit.yml
127,iniTial_access,Resources/sigma-master/rules/web/web_sonicwall_jarrewrite_exploit.yml
128,iniTial_access,Resources/sigma-master/rules/web/web_vsphere_cve_2021_21972_unauth_rce_exploit.yml
129,T1190,Resources/sigma-master/rules/web/web_vsphere_cve_2021_21972_unauth_rce_exploit.yml
130,iniTial_access,Resources/sigma-master/rules/web/web_expl_exchange_cve_2021_28480.yml
131,T1190,Resources/sigma-master/rules/web/web_expl_exchange_cve_2021_28480.yml
132,T1190,Resources/sigma-master/rules/web/web_cve_2021_2109_weblogic_rce_exploit.yml
133,iniTial_access,Resources/sigma-master/rules/web/web_cve_2021_2109_weblogic_rce_exploit.yml
134,persisTence,Resources/sigma-master/rules/web/web_solarwinds_supernova_webshell.yml
135,T1505.003,Resources/sigma-master/rules/web/web_solarwinds_supernova_webshell.yml
136,T1100,Resources/sigma-master/rules/web/web_cve_2020_3452_cisco_asa_ftd.yml
137,T1190,Resources/sigma-master/rules/web/web_cve_2020_3452_cisco_asa_ftd.yml
138,iniTial_access,Resources/sigma-master/rules/web/web_cve_2020_3452_cisco_asa_ftd.yml
139,iniTial_access,Resources/sigma-master/rules/web/web_cve_2019_3398_confluence.yml
140,T1190,Resources/sigma-master/rules/web/web_cve_2019_3398_confluence.yml
141,iniTial_access,Resources/sigma-master/rules/web/web_multiple_suspicious_resp_codes_single_source.yml
142,T1190,Resources/sigma-master/rules/web/web_multiple_suspicious_resp_codes_single_source.yml
143,persisTence,Resources/sigma-master/rules/web/win_webshell_regeorg.yml
144,T1100,Resources/sigma-master/rules/web/win_webshell_regeorg.yml
145,T1505.003,Resources/sigma-master/rules/web/win_webshell_regeorg.yml
146,iniTial_access,Resources/sigma-master/rules/web/web_arcadyan_router_cve_2021_20090_2021_20091_exploit.yml
147,T1190,Resources/sigma-master/rules/web/web_arcadyan_router_cve_2021_20090_2021_20091_exploit.yml
148,iniTial_access,Resources/sigma-master/rules/web/web_path_traversal_exploitation_attempt.yml
149,T1190,Resources/sigma-master/rules/web/web_path_traversal_exploitation_attempt.yml
150,iniTial_access,Resources/sigma-master/rules/web/web_citrix_cve_2019_19781_exploit.yml
151,T1190,Resources/sigma-master/rules/web/web_citrix_cve_2019_19781_exploit.yml
152,iniTial_access,Resources/sigma-master/rules/web/web_cve_2021_26814_wzuh_rce.yml
153,T1190,Resources/sigma-master/rules/web/web_cve_2021_26814_wzuh_rce.yml
154,iniTial_access,Resources/sigma-master/rules/web/web_cve_2021_22893_pulse_secure_rce_exploit.yml
155,T1190,Resources/sigma-master/rules/web/web_cve_2021_22893_pulse_secure_rce_exploit.yml
156,iniTial_access,Resources/sigma-master/rules/web/web_fortinet_cve_2018_13379_preauth_read_exploit.yml
157,T1190,Resources/sigma-master/rules/web/web_fortinet_cve_2018_13379_preauth_read_exploit.yml
158,iniTial_access,Resources/sigma-master/rules/web/web_solarwinds_cve_2020_10148.yml
159,T1190,Resources/sigma-master/rules/web/web_solarwinds_cve_2020_10148.yml
160,iniTial_access,Resources/sigma-master/rules/web/web_cve_2010_5278_exploitation_attempt.yml
161,T1190,Resources/sigma-master/rules/web/web_cve_2010_5278_exploitation_attempt.yml
162,T1100,Resources/sigma-master/rules/web/web_cve_2020_14882_weblogic_exploit.yml
163,T1190,Resources/sigma-master/rules/web/web_cve_2020_14882_weblogic_exploit.yml
164,iniTial_access,Resources/sigma-master/rules/web/web_cve_2020_14882_weblogic_exploit.yml
165,T1100,Resources/sigma-master/rules/web/web_cve_2018_2894_weblogic_exploit.yml
166,T1190,Resources/sigma-master/rules/web/web_cve_2018_2894_weblogic_exploit.yml
167,iniTial_access,Resources/sigma-master/rules/web/web_cve_2018_2894_weblogic_exploit.yml
168,persisTence,Resources/sigma-master/rules/web/web_cve_2018_2894_weblogic_exploit.yml
169,T1505.003,Resources/sigma-master/rules/web/web_cve_2018_2894_weblogic_exploit.yml
170,iniTial_access,Resources/sigma-master/rules/web/web_exchange_proxyshell_successful.yml
171,impacT,Resources/sigma-master/rules/web/web_nginx_core_dump.yml
172,T1499.004,Resources/sigma-master/rules/web/web_nginx_core_dump.yml
